,title,price,colour,description,category,brand
0,top with contrasting collar details,45.9,black,long sleeve top with a matching high neck and gathers on the shoulders. ,tops,zara
1,faux leather skirt details,69.9,black,pleated mini skirt with an elastic waist and interior lining.,skirts,zara
2,printed draped top details,59.9,black,"v neck crop top with long sleeves, ruched detail on the front and elastic on the back.",tops,zara
3,faded effect t shirt with slogan details,24.9,grey,short sleeve t shirt with a round neckline and a slogan on the front.,tops,zara
4,dress with bows details,59.9,oyster white,v neck dress with short ruffled sleeves. featuring a stretch waist detail with matching bows and a buttoned opening in the back. ,dresses,zara
5,houndstooth frock coat details,119.0,ecru / red,long sleeve v neck frock coat. featuring front patch pockets and a double breasted button up front.,outerwear,zara
6,loose fit cargo trousers details,69.9,light khaki,"high waist trousers with front pockets and side patch pockets. featuring zipped elastic cuffs and metal hook, inside button and zip fly fastening.",bottoms,zara
7,embroidered dress with tassels details,69.9,maroon,"slot collar dress with v neckline and adjustable cord. featuring puff sleeves that reach below the elbow, contrast embroidery details and contrast tassels on the front. ",dresses,zara
8,full sleeve blazer details,139.0,black,"long double breasted blazer with a lapel collar and long sleeves puffed at the shoulders. featuring front welt pockets, a belt with a lined buckle, a back vent and double breasted fastening with lined buttons.",outerwear,zara
9,z1975 ripped skinny jeans details,59.9,mid-blue,"mid waist jeans with a five pocket design, ripped detailing on the front and turn up hems. front fastening with zip fly and gem button.",jeans,zara
10,long cape with pockets details,179.0,mid-camel,"cape style jacket in a wool blend. featuring a round neckline, front welt pockets, side vents and front toggle fastener.",outerwear,zara
11,z1975 mom fit jeans with contrast pocket details,69.9,mid-blue,"faded high waist jeans featuring a five pocket design, contrast fabric appliqué on the pocket, frayed hems and zip fly and metal button fastening at the front. ",jeans,zara
12,basic blazer details,69.9,bottle green,"blazer with a lapel collar and long sleeves. featuring front flap pockets, a back vent and single button fastening at the front.",outerwear,zara
13,jeans zw premium night out high waist skinny deep black details,69.9,black,the night out high waist skinny in deep black.,jeans,zara
14,flared trousers details,69.9,black,"mid waist flowing trousers with front pockets and rear welt pockets. featuring flared hems and metal zip, inside button and hook fastening in the front. ",outerwear,zara
15,draped crop top details,89.9,ecru,"open shoulder v neck top. featuring an elasticated back detail, front appliqué and matching hem, and invisible side zip fastening.",tops,zara
16,faux suede blazer details,69.9,black,long sleeve blazer with a wide lapel collar. featuring side in seam pockets and an adjustable stretch drawstring waist. ,outerwear,zara
17,combined faux shearling jacket details,119.0,ecru,"oversized long sleeve jacket with a classic collar. featuring front patch pockets with flaps, matching trims and front button fastening.",outerwear,zara
18,polka dot satin dress details,69.9,fuchsia,"short dress featuring a surplice neckline, long sleeves with elastic trim, front gathering, lining and invisible back zip fastening.",dresses,zara
19,glossy blouse details,45.9,beige-pink,"sleeveless contrast fabric blouse with a high neck, pleats and an opening in the back that fastens with lined buttons.",tops,zara
20,knit leggings details,49.9,black,knit leggings with an elastic waistband.,bottoms,zara
21,ribbed midi dress details,69.9,black,knit dress with a high neck and long puff sleeves.,outerwear,zara
22,sweatshirt with front slogan details,29.9,ecru,long sleeve sweatshirt with a round neckline. featuring ribbed trims and a slogan on the front.,outerwear,zara
23,soft touch striped sweatshirt details,45.9,black / white,loose fitting sweatshirt with a round neckline and long sleeves. ,outerwear,zara
24,oversized shirt with pocket details,49.9,black,oversized long sleeve shirt with a round collar. featuring an asymmetric hem and a button up front.,tops,zara
25,frilled poplin blouse details,59.9,white,"blouse featuring a high neck, long sleeves with elastic cuffs, tucks on the front, ruffle trims in the same fabric and a button up front. ",tops,zara
26,straight fit cotton trousers details,69.9,mustard,"high waist trousers with an elastic waist. featuring front pockets, side patch pockets and metal button fastening.",bottoms,zara
27,pleated trousers details,69.9,camel,"high waist trousers with in seam side pockets, false rear welt pockets and turn up hems. fastening with metal hook, inside button and zip fastening.",bottoms,zara
28,cropped satin finish bomber jacket details,119.0,bronze,"cropped bomber jacket with a round neck, long sleeves with ribbed trims, front zip pockets and a metal zip up front.",outerwear,zara
29,pouch pocket jacket details,89.9,khaki,collared long sleeve jacket. featuring a front pouch pocket and metal zip fastening at the front.,outerwear,zara
30,midi dress with seam detail details,89.9,black,flowing a line midi dress with a high neck and long sleeves. featuring a gathered detail on the front and invisible back zip fastening. ,dresses,zara
31,faux leather trousers details,49.9,black,"high waist trousers with side pockets, false welt back pockets, front dart detailing, a zip fly and a top button fastening. ",bottoms,zara
32,faux leather mini skirt with belt details,49.9,dark green,"high waist mini skirt with an elastic waistband, side pockets, a belt in the same fabric with covered buckle and zip fastening.",skirts,zara
33,floral print top details,59.9,multicoloured,"semi sheer top featuring a high neck, sleeves that reach below the elbow with elastic cuffs, an elastic waist and tied opening on the front. ",tops,zara
34,contrast hooded jacket details,89.9,beige,"high neck jacket with an adjustable hood with contrast lining. featuring long sleeves with elastic cuffs, front welt pockets, an asymmetric hem and a zip up front hidden by a snap button placket. ",outerwear,zara
35,sequin blazer details,179.0,red,"blazer with a lapel collar and long sleeves. featuring front welt pockets, a back vent and front fastening with a single covered button. ",outerwear,zara
36,shirt with pocket details,59.9,beige-pink,"flowing collared shirt with long sleeves, a patch pocket on the chest and an asymmetric hem. ",tops,zara
37,long dress with ruffles details,139.0,purple,dress with a high neck and long sleeves. featuring ruffle trims and front fastening with matching covered buttons.,dresses,zara
38,satin blouse with tied bow detail details,69.9,black,"blouse featuring a high neck with tied detail, long sleeves and front fastening with covered buttons. ",tops,zara
39,animal print mini dress details,69.9,ecru / black,"flowing short dress with a round neckline and long sleeves. featuring a gathered seam detail, matching ruffle trim and button fastening at the front. ",dresses,zara
40,soft touch printed sweater details,59.9,burgundy,knit sweater with a round neckline and long sleeves. ,outerwear,zara
41,gathered blouse with pockets details,69.9,dark blue,"loose fitting blouse with a lapel collar. featuring a v neckline, long full sleeves, an adjustable drawstring waist, front patch pockets and contrast buttons down the front.",tops,zara
42,animal print bermuda shorts details,49.9,leopard,mid waist bermuda skort with a decorative front zip pocket and back patch pockets. featuring a wrap front with metal button and hidden zip.,skirts,zara
43,accordion pleat skirt details,69.9,burgundy,pleated skirt with an elastic waistband and tie in the front. featuring bermuda style interior lining and matching snap button fastening in the front.,skirts,zara
44,t shirt with dotted mesh detail details,24.9,black,"t shirt with a round neckline, short sleeves and dotted mesh trim on the neckline and sleeves.",tops,zara
45,cropped sweater with ruffles details,59.9,blue,"cropped knit sweater featuring a round neckline, long sleeves and ruffle trims.",outerwear,zara
